term,df,sum_sq,mean_sq,F,PR(>F),eta_sq
C(Gender_Label),1.0,0.6917250105196014,0.6917250105196014,2.356971215209274,0.12525126360765015,0.003912914314670028
Residual,600.0,176.08827958253625,0.2934804659708937,,,0.99608708568533
