,coef,pvalue,stderr
Intercept,0.42848484720727775,7.021530222137395e-05,0.10702327322685816
PE_Score,0.20375093872981817,3.409283900665576e-08,0.03643341121948504
CU_Score,0.2571457384630064,3.3392005322323706e-19,0.02773963579913752
ATU_Score,0.34248689972103674,2.6349160218524476e-21,0.034777988783027194
